ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02057d5c7e9d370873dd7ac0eece753f1467777c77e5c295c5461972fa0b61a0e8,https://api.cdr.land/v1/docs/documents,02057d5c7e9d370873dd7ac0eece753f1467777c77e5c295c5461972fa0b61a0e8,Canada,Saskatchewan,POINT(-109.168444 51.474361),EPSG:4326,"","NI 43-101 Technical Report for the Kindersley project in Canada dated April, 2022.pdf",Lithium,"Conventional hard rock mining of pegmatites,Evapo-concentration of subsurface brine,Lacustrine brine lithium,Lacustrine clay lithium,MVT barite,MVT strontium,Marine brine potash (±Mg, Li, and so on)"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0205e384bede4889373d9e9788b27e984c76aec51a0ba876f098cd08541ac7ab54,https://api.cdr.land/v1/docs/documents,0205e384bede4889373d9e9788b27e984c76aec51a0ba876f098cd08541ac7ab54,Mexico,Sonora,POINT(-109.75 29.9),EPSG:4326,"",Sonora Project,"Potassium,Lithium","High-sulfidation (HS) epithermal silver-gold ± Cu,Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn,Lacustrine brine lithium,Lacustrine clay lithium,Residual clay,hydrothermal alteration"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0208b2323ad3f39c21209360b865d3c238bae45b77fe4e5b98bfd0c5e9a61654a5,https://api.cdr.land/v1/docs/documents,0208b2323ad3f39c21209360b865d3c238bae45b77fe4e5b98bfd0c5e9a61654a5,United States,Nevada,"","","",Clayton Valley Project,Lithium,"Lacustrine brine lithium,Lacustrine clay lithium,Lithium brines,Lithium-rich mudstones and claystones,MVT barite,MVT fluorspar,Unconformity- related REE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__020b610adbce4cf097c7f614845a2e8eb93fe21b172b504ba182230b4d1bc2ab88,https://api.cdr.land/v1/docs/documents,020b610adbce4cf097c7f614845a2e8eb93fe21b172b504ba182230b4d1bc2ab88,United States,Nevada,POINT(-117.634665 37.803134),EPSG:4326,"",Clayton Valley Project,Lithium,"Fluvial placer gold,Hypozonal orogenic gold,Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),clays,continental brines,pegmatites"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__020d32534efcbca56bcfba8651b8b496cf802b901c26e7366f5e052e6073bd2d12,https://api.cdr.land/v1/docs/documents,020d32534efcbca56bcfba8651b8b496cf802b901c26e7366f5e052e6073bd2d12,United States,Nevada,POINT(-117.34 37.74),EPSG:4326,"",Clayton Valley Project,Lithium,"Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),MVT strontium,Porphyry gold ± copper,brine deposits,hard rock mineral deposits"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0212d8d61ea948defec19ae8e9c0cedd26628dbbcee36b50eb1ba0411495fae6b2,https://api.cdr.land/v1/docs/documents,0212d8d61ea948defec19ae8e9c0cedd26628dbbcee36b50eb1ba0411495fae6b2,Canada,Alberta,POINT(-117.16 54.98),EPSG:4326,"","NI 43-101 Technical Report for the Sturgeon Lake project in Canada dated May, 2021.pdf",Lithium,"Confined aquifer brine deposits,Lacustrine brine lithium,Lacustrine clay lithium,Low Iron alkali-calcic,MVT strontium,Marine brine potash (±Mg, Li, and so on)"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021ab8a5fe0ac66d6d7bd552dd44f4142148664233474be1d70ed05ec2a06427c1,https://api.cdr.land/v1/docs/documents,021ab8a5fe0ac66d6d7bd552dd44f4142148664233474be1d70ed05ec2a06427c1,United States,Nevada,POINT(-117.548971 37.2022),EPSG:4326,"","NI 43-101 Technical Report for the Deer Musk East project in Nevada, United States dated August, 2021.pdf",Lithium,"Breccia pipe REE,Fluvial placer REE,Lacustrine brine lithium,Lacustrine clay lithium,Low Iron alkali-calcic"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021e2721fbca924d467495029dcb78f5f65fa0fee08a31cc88c1f6db3e1d8370a2,https://api.cdr.land/v1/docs/documents,021e2721fbca924d467495029dcb78f5f65fa0fee08a31cc88c1f6db3e1d8370a2,Canada,Alberta,"","","",Clearwater-Exshaw Project,Lithium,"Continental brine deposits,Geothermal brine deposits,Lacustrine brine lithium,Lacustrine clay lithium,Low Iron alkali-calcic,MVT zinc-lead,Marine brine potash (±Mg, Li, and so on),Non-continental brine deposits,Oilfield brine deposits"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022376b1b58a710ea7b667c6c92eb93964968dfcbd3e55f2acee7ed2286f022656,https://api.cdr.land/v1/docs/documents,022376b1b58a710ea7b667c6c92eb93964968dfcbd3e55f2acee7ed2286f022656,United States,Nevada,"","","","NI 43-101 Technical Report for the ELi project in Nevada, United States dated January, 2022.pdf",Lithium,"Greisen beryllium±Li,Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),Porphyry gold ± copper,clays,continental brines,pegmatites"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022caced4820babcb36a234bfc7f83f30d5b0436894100e8da48d7c4518ffedf90,https://api.cdr.land/v1/docs/documents,022caced4820babcb36a234bfc7f83f30d5b0436894100e8da48d7c4518ffedf90,United States,Nevada,POINT(-118.3265 41.0802),EPSG:4326,"",Thacker Pass Project,"Dolomite,Lithium,Quartz","Breccia pipe REE,Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine iron formation,Lacustrine zeolite (± Li, B),Lithium Mineralization"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022eaf582b79cd9cd52c96ed799ed48180f3035aee160fa1440b2457549693359d,https://api.cdr.land/v1/docs/documents,022eaf582b79cd9cd52c96ed799ed48180f3035aee160fa1440b2457549693359d,United States,Nevada,MULTIPOINT(-118.6167 39.3528),EPSG:4326,"",Salt Wells Valley Project,Lithium,"Continental Lithium-Bearing Brines,Lacustrine brine lithium,Lacustrine clay lithium,Low Iron alkali-calcic,MVT barite,MVT zinc-lead"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230af08ab6bdcfe4cd59c3c2f666313078c8350965f0ce857c72f2f191c7b937d,https://api.cdr.land/v1/docs/documents,0230af08ab6bdcfe4cd59c3c2f666313078c8350965f0ce857c72f2f191c7b937d,Argentina,Salta,"","","","NI 43-101 Technical Report for the Incahuasi project in Argentina dated June, 2022.pdf","Lithium,Potassium","Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine evaporite salt,Lacustrine zeolite (± Li, B),Marine brine potash (±Mg, Li, and so on),lithium-enriched, saline brine aquifer"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0232b37b8235ee193f92aa53e7981aae7364638ff90ea1d57ef7d93f96fed5b525,https://api.cdr.land/v1/docs/documents,0232b37b8235ee193f92aa53e7981aae7364638ff90ea1d57ef7d93f96fed5b525,Mexico,Sonora,POINT(-109.07 29.64),EPSG:4326,"",Sonora Lithium Project,Lithium,"High-sulfidation (HS) epithermal silver-gold ± Cu,Hypozonal orogenic gold,Lacustrine brine lithium,Lacustrine clay lithium,MVT zinc-lead,hydrothermal alteration"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__023976d1771fd8cc0df3d84b64bc8361566dff5c4e579b452fe0934ce9b4c79fcd,https://api.cdr.land/v1/docs/documents,023976d1771fd8cc0df3d84b64bc8361566dff5c4e579b452fe0934ce9b4c79fcd,United States,Nevada,POINT(-117.9791 37.7188),EPSG:4326,"",Kibby Basin Project,Lithium,"Fluvial placer gold,Lacustrine brine lithium,Lacustrine clay lithium,Lithium-bearing continental brines,MVT zinc-lead,Paleoplacer gold ± uranium"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__023a009a3f0632b3697a8c102628f14095592aa4605578ae4815889413861f4911,https://api.cdr.land/v1/docs/documents,023a009a3f0632b3697a8c102628f14095592aa4605578ae4815889413861f4911,Canada,Quebec,MULTIPOINT(-78.1160 48.5610),EPSG:4326,"",Quebec Project,Lithium,"Greisen beryllium±Li,LCT pegmatite,Lacustrine clay lithium,NYF pegmatite,Rare-element pegmatites,Simple pegmatite"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0242fccfa1b933e502b156bb5d61960e4cddc88fa0a960553f91d3fa324190b025,https://api.cdr.land/v1/docs/documents,0242fccfa1b933e502b156bb5d61960e4cddc88fa0a960553f91d3fa324190b025,United States,Nevada,"","","","NI 43-101 Technical Report for the Sarcobatus Flat Project in Nevada, United States dated November 2016.pdf",Lithium,"Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),Lithium brine deposits,MVT strontium,MVT zinc-lead"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02431079e62f3d8f7261af6847f06fc4edca8b8050d8f262c552ed4d95774a6d98,https://api.cdr.land/v1/docs/documents,02431079e62f3d8f7261af6847f06fc4edca8b8050d8f262c552ed4d95774a6d98,Canada,Ontario,POINT(-94.653611 50.278333),EPSG:4326,"",NI 43-101 Technical Report for the Separation Project in North America dated June 2009.pdf,Lithium,"Abyssal pegmatite REE,LCT pegmatite,Lacustrine clay lithium,NYF pegmatite,Simple pegmatite,complex-type, petalite-subtype pegmatite,rare-metal pegmatite mineralization,zoned petalite-subtype pegmatite"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02438bcc98fde0b10d03d369b1c152f2dc9608dfdea90737ab989ef665d6abffb3,https://api.cdr.land/v1/docs/documents,02438bcc98fde0b10d03d369b1c152f2dc9608dfdea90737ab989ef665d6abffb3,Canada,Quebec,POINT(-75.5522 49.3693),EPSG:4326,"",NI 43-101 Technical Report for the Whabouchi Project in North America dated June 2014.pdf,Lithium,"Abyssal pegmatite REE,LCT pegmatite,Lacustrine clay lithium,NYF pegmatite,Simple pegmatite"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0243e879f8d7bc95e8a8a924d12bd93dcbfbbe25785af41b538fdd0a50da200c7c,https://api.cdr.land/v1/docs/documents,0243e879f8d7bc95e8a8a924d12bd93dcbfbbe25785af41b538fdd0a50da200c7c,Chile,Atacama,POINT(-69.062833 28.476979),EPSG:4326,"",Blanco Project,"Potassium,Lithium","Hypozonal orogenic gold,Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine zeolite (± Li, B),Marine brine potash (±Mg, Li, and so on),clastic dominant,halite dominant,immature,mature"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0244d79f84d14bc677b7b8a62809d085b1e13f7e574b04794c742046202e91fd89,https://api.cdr.land/v1/docs/documents,0244d79f84d14bc677b7b8a62809d085b1e13f7e574b04794c742046202e91fd89,Canada,Quebec,POINT(291964 5365763),EPSG:4326,"",Quebec Lithium Project,Lithium,"Greisen beryllium±Li,LCT pegmatite,Lacustrine clay lithium,NYF pegmatite,Rare-element pegmatites,Simple pegmatite"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02478596274d6b83aba464b254cf1681f057fb507e2b7bd03dd7b70eabf0078a43,https://api.cdr.land/v1/docs/documents,02478596274d6b83aba464b254cf1681f057fb507e2b7bd03dd7b70eabf0078a43,United States,Nevada,POINT(-118.0033 37.8894),EPSG:4326,"",Clayton Valley Project,Lithium,"Carlin-type gold,Drilling for brines in the deep basin,Lacustrine brine lithium,Lacustrine clay lithium,Lithium-rich mudstones and claystones,MVT fluorspar,MVT zinc-lead"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02497a3039a4c6faf6c61ff4b489cdc68e6e0b295cac89248fbc3bdfb9051905bb,https://api.cdr.land/v1/docs/documents,02497a3039a4c6faf6c61ff4b489cdc68e6e0b295cac89248fbc3bdfb9051905bb,Mexico,Sonora,"","","",Sonora Project,Lithium,"Brines and caliche,Clays,Ion adsorption REE,Lacustrine brine lithium,Lacustrine clay lithium,Low Iron alkali-calcic,MVT strontium,Pegmatites"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0253093a332b892e4f5a46a37f6628df82f593957ee9d6c959d80da4ae92be7a1a,https://api.cdr.land/v1/docs/documents,0253093a332b892e4f5a46a37f6628df82f593957ee9d6c959d80da4ae92be7a1a,United States,Nevada,POINT(-118.1937 41.6674),EPSG:4326,"",Kings Valley Project,Lithium,"Breccia pipe REE,Lacustrine brine lithium,Lacustrine clay lithium,Lacustrine evaporite borate,Low Iron alkali-calcic,hydrothermal alteration of layered volcaniclastic sedimentary rocks"
