ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02035b7ceaf517c2b4421e2fc72855e0e5bbda918854f0a7708fb62d0efc9cfeab,https://api.cdr.land/v1/docs/documents,02035b7ceaf517c2b4421e2fc72855e0e5bbda918854f0a7708fb62d0efc9cfeab,United States,Nebraska,POINT(-96.1592 40.2153),EPSG:4326,"",Elk Creek Project,Niobium,"Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Carbonatite-associated deposits,Ion adsorption REE,Magmatic,Metasomatic,Unconformity- related REE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021a33593deeda0dee6956d4f6d74573684bc771c3a6bfbcc193dd1b7ee5212d9b,https://api.cdr.land/v1/docs/documents,021a33593deeda0dee6956d4f6d74573684bc771c3a6bfbcc193dd1b7ee5212d9b,Canada,Quebec,POINT(-68.7 56.9),EPSG:4326,"",Niobium Claim Group Project,Niobium,"Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Ferroan carbonate polymetallic,Fluvial placer niobium- tantalum,Low Iron alkali-calcic"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe,https://api.cdr.land/v1/docs/documents,021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe,Canada,British Columbia,POINT(-123.733 56.45),EPSG:4326,"",Aley Project,Niobium,"Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,Greisen tin ±W-Mo,observed text"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0228aeb0b71119f52b1ad30af41d5ae7c2b1accd17902b7bf4192349a20563593e,https://api.cdr.land/v1/docs/documents,0228aeb0b71119f52b1ad30af41d5ae7c2b1accd17902b7bf4192349a20563593e,Canada,British Columbia,POINT(-123.7333 56.4500),EPSG:4326,"",Aley Project,Niobium,"Abyssal pegmatite REE,Albitite-hosted uranium,Algoma-type banded iron formation,Alkalic epithermal gold ± Ag,Anorthosite conduit nickel- copper-PGE,Anorthosite massif titanium,Apatite intrusion REE,Apatite- nepheline- titanite intrusion,Arc U-M intru- sion nickel- copper-PGE,Arc U-M intrusion titanium- vanadium,Bauxite,Bimodal felsic VMS,Bimodal-mafic VMS,Black shale gold,Black shale nickel ± Mo- PGE,Black shale uranium,Black shale va- nadium ± Mo ± Ni,Breccia pipe REE,Breccia pipe copper,Breccia pipe gold,Breccia pipe molybdenum,Calcrete uranium,Carbonate uranium,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Carlin-type gold,Climax-type porphyry molybdenum,Coal/peat/bog uranium,Collapse breccia pipe uranium,Crust manganese,Distal- disseminated silver-gold,Epithermal beryllium,Epithermal mercury,Epithermal uranium,Epizonal orogenic antimony ± gold,Epizonal orogenic gold,Epizonal orogenic mercury,Exotic copper,Felsic-siliciclastic VMS,Ferroan carbonate polymetallic,Fluvial placer PGE,Fluvial placer REE,Fluvial placer diamond,Fluvial placer garnet,Fluvial placer gemstones,Fluvial placer gold,Fluvial placer niobium- tantalum,Fluvial placer tin,Fluvial placer tungsten,Greisen beryllium±Li,Greisen tin ±W-Mo,Greisen tungsten- molybdenum±Bi,Heavy mineral sands,Hematite- dominant IOA,Hematite- dominant IOCG,High-sulfidation (HS) epithermal silver-gold ± Cu,Hypozonal orogenic gold,Impact U-M intrusion nickel- copper-PGE,Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn,Ion adsorption REE,Irish-type sediment- hosted zinc- lead,Iron oxide gold,Iron oxide poly- metallic,Iron oxide uranium,Iron silicate polymetallic,Iron sulfide polymetallic,Karst bauxite,Kimberlite diamond,Kipushi-type sediment- hosted copper- zinc-lead,Komatiite nickel-copper-PGE,LCT pegmatite,Lacustrine brine lithium,Lacustrine brine potash,Lacustrine clay lithium,Lacustrine evaporite borate,Lacustrine evaporite carnallite- bischofite,Lacustrine evaporite magnesite,Lacustrine evaporite nitrate,Lacustrine evaporite potash,Lacustrine evaporite salt,Lacustrine evaporite trona,Lacustrine iron formation,Lacustrine manganese,Lacustrine zeolite (± Li, B),Laterite magnesite,Laterite nickel,Low Iron alkali-calcic,Low-fluorine porphyry molybdenum,Low-sulfidation (LS) epither- mal gold-silver,MVT barite,MVT fluorspar,MVT strontium,MVT zinc-lead,Mafic-siliciclastic VMS,Mafic-ultramafic VMS,Magnetite- dominant IOA,Magnetite- dominant IOCG,Marine brine potash (±Mg, Li, and so on),Marine evaporite gypsum,Marine evaporite magnesite,Marine evaporite potash,Marine evaporite salt,Mesozonal orogenic gold,Metamorphic graphite,Metamorphic kyanite,NYF pegmatite,Nodular magnesite,Nodule manganese,Non-sulfide zinc-lead ± Mn,Oolitic iron formation,Ophiolite chromium,Ophiolite nickel-copper-PGE,Orogenic copper ± gold,Orogenic graphite,Orogenic silver-lead- zinc-copper- antimony,Oxidized intrusion- related gold,Paleochannel iron,Paleoplacer gold ± uranium,Paleoplacer heavy mineral sands,Paleoplacer tin,Peralkaline igneous HFSE- REE,Phosphorite,Porphyry copper ± gold,Porphyry copper- molybdenum,Porphyry gold ± copper,Porphyry tin,Porphyry tungsten,Reduced intrusion- related gold,Replacement copper,Replacement fluorite,Replacement gold-silver,Replacement magnesium,Replacement manganese,Replacement polymetallic,Replacement tin,Replacement zinc-lead,Residual clay,Residual placer lead,Residual placer tin,Sandstone uranium,Sandstone-hosted zinc-lead,Sediment-hosted copper ± Co,Sedimentary manganese,Shoreline placer gold,Siliciclastic- carbonate zinc-lead,Siliciclastic-mafic barite,Siliciclastic-mafic zinc-lead,Simple pegmatite,Skarn beryllium- fluorite,Skarn copper,Skarn gold ± copper ± tungsten,Skarn iron,Skarn molybdenum,Skarn tin ± copper ± Mo,Skarn tungsten ± Mo,Skarn uranium- REE,Skarn zinc-lead-silver,Supergene copper,Supergene gold,Supergene iron,Supergene lead,Supergene manganese,Supergene silver,Supergene uranium,Supergene vanadium,Supergene zinc,Superior-type banded iron formation,Superior-type banded manganese,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion chromium,U-M layered intrusion iron-titanium- vanadium,U-M layered intrusion nickel- copper-PGE,Unconformity- related REE,Unconformity- related ura- nium,Underclay, over- clay,Vein cobalt ± Ni,Vein copper,Vein five-element,Vein fluorite,Vein polymetallic,Vein tin,Vein tin polymetallic,Vein tungsten,Vein ± replacement nickel,Volcanic-hosted copper,Volcanogenic manganese"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022b81881794b6910528a035b50a214fc960c52f89d7f84a35ce1b75b96f3759f0,https://api.cdr.land/v1/docs/documents,022b81881794b6910528a035b50a214fc960c52f89d7f84a35ce1b75b96f3759f0,United States,Nebraska,POINT(-96.185694 40.266750),EPSG:4326,"",Elk Creek Project,"Scandium,Titanium,Niobium","Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Ferroan carbonate polymetallic,Fluvial placer niobium- tantalum,observed text"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022bc134c6a8247a34365f95435509d8d3738c8d96207e23c7ccafbe04990bbcf9,https://api.cdr.land/v1/docs/documents,022bc134c6a8247a34365f95435509d8d3738c8d96207e23c7ccafbe04990bbcf9,Canada,Quebec,POINT(-71.0667 48.5833),EPSG:4326,"",Niobec Project,Niobium,"Carbonatite REE,Carbonatite niobium,Ferroan carbonate polymetallic,Fluvial placer niobium- tantalum,Magnetite- dominant IOA,observed text"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022f34370dbbb08010387f8745d2dfb1bfe5a5b501a373df15bc8083879ffb54ad,https://api.cdr.land/v1/docs/documents,022f34370dbbb08010387f8745d2dfb1bfe5a5b501a373df15bc8083879ffb54ad,United States,Nebraska,POINT(-96.185694 40.266750),EPSG:4326,"",Elk Creek Project,"Holmium,Titanium,Samarium,Europium,Dysprosium,Terbium,Ytterbium,Neoymium,Lanthanum,Yttrium,Lutetium,Cerium,Niobium,Thulium,Scandium,Gadolinium,Praseodymium,Erbium","Carbonatite,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,Unconformity- related REE,observed text"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428,https://api.cdr.land/v1/docs/documents,0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428,Canada,British Columbia,"","","",NI 43-101 Technical Report for the Fir Project in North America dated November 2004.pdf,"Uranium,Niobium,Tantalum","Carbonatite,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,Peralkaline igneous HFSE- REE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02410ecb5936467bd66e32b3b22849ec00fe1d3e0c845fa8c8de66d18569d53a7a,https://api.cdr.land/v1/docs/documents,02410ecb5936467bd66e32b3b22849ec00fe1d3e0c845fa8c8de66d18569d53a7a,United States,Nebraska,POINT(-96.185694 40.266750),EPSG:4326,"",Elk Creek Project,Niobium,"Carbonatite,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Ferroan carbonate polymetallic,Ion adsorption REE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0241cd3ff6751aece89ad19604525b4609ab1b41e20640128632e71ea63c3823c7,https://api.cdr.land/v1/docs/documents,0241cd3ff6751aece89ad19604525b4609ab1b41e20640128632e71ea63c3823c7,Canada,Newfoundland and Labrador,"","","","NI 43-101 Technical Report for the Deep Fox and Foxtrot project in Canada dated December, 2021.pdf","Praseodymium,Dysprosium,Lanthanum,Samarium,Lutetium,Ytterbium,Holmium,Terbium,Niobium,Gadolinium,Yttrium,Erbium,Neoymium,Europium,Cerium,Thulium","Carbonatite Deposits,Carbonatite REE,In Situ Laterites,Ion adsorption REE,Ionic Clay Deposits,Peralkaline Oversaturated Deposits,Peralkaline Undersaturated Deposits,Peralkaline igneous HFSE- REE,Skarn uranium- REE,Unconformity- related REE"
