ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2,https://api.cdr.land/v1/docs/documents,0200a1c6d2cfafeb485d815d95966961d4c119e8662b8babec74e05b59ba4759d2,Canada,British Columbia,"","","",NI 43-101 Technical Report for the Turnagain Project in North America dated March 2007.pdf,"Nickel,Cobalt,Copper","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Vein cobalt ± Ni,ultramafic associated magmatic nickel sulphide deposit"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,https://api.cdr.land/v1/docs/documents,021c4fa2c12767c6a4181a56df46abd6339e036579693d5f403106762af83421a8,Brazil,Ceará,"","","",Pedra Branca Project,"Nickel,Cobalt,Copper,platinum-group elements,Gold,Platinum","Komatiite nickel-copper-PGE,Magnetite- dominant IOCG,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02222ab44dc689a6296f61d031a5ef7b054b134b16dd6e3e6a0c798960e2c399b4,https://api.cdr.land/v1/docs/documents,02222ab44dc689a6296f61d031a5ef7b054b134b16dd6e3e6a0c798960e2c399b4,Canada,Ontario,POINT(-81.002410 46.490002),EPSG:4326,"",Premiere Ridge Project,"Gold,Silver,Palladium,Copper,Nickel,Cobalt,Platinum","Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,MVT zinc-lead,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,contact,footwall,offset dike"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548,https://api.cdr.land/v1/docs/documents,023a9e77a67e3689e17aa48d8b22913b9216a6895b9d84039cf00ad91c660ee548,Canada,Ontario,POINT(-81.4167 46.4667),EPSG:4326,"",NI 43-101 Technical Report for the Graham Project in North America dated January 2009.pdf,"Nickel,Gold,Cobalt,Palladium,Platinum,Silver,Sulfur","Anorthosite conduit nickel- copper-PGE,Arc U-M intru- sion nickel- copper-PGE,Contact-type massive to disseminated sulphides,Copper and PGE-rich footwall veins and stockworks,Impact U-M intrusion nickel- copper-PGE,Offset quartz-norite dikes,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__024e885f029d2f42807f4750d9a4a056dfe8d0218983fe95678bc1a815326968c5,https://api.cdr.land/v1/docs/documents,024e885f029d2f42807f4750d9a4a056dfe8d0218983fe95678bc1a815326968c5,Canada,Quebec,POINT(-69.641667 59.000000),EPSG:4326,"",Hawk Ridge Project,"Nickel,Cobalt,Copper,Palladium,Platinum,Gold","Arc U-M intru- sion nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Komatiite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,rift and continental flood basalt associated nickel copper sulphide deposits (type 1b)"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02569543cbd2b717e6c11c09da7d72036c5ebe053b4b069a0b7df62bba05374397,https://api.cdr.land/v1/docs/documents,02569543cbd2b717e6c11c09da7d72036c5ebe053b4b069a0b7df62bba05374397,Canada,Quebec,POINT(-73.4667 61.5333),EPSG:4326,"",South Trend Project,"Platinum,Palladium,Cobalt,Copper,Gold,Nickel","Arc U-M intru- sion nickel- copper-PGE,Komatiite nickel-copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02617e997aed8a915bce54540938b7568fdd82d43a87b7e5a3b7805e0b2b614e2b,https://api.cdr.land/v1/docs/documents,02617e997aed8a915bce54540938b7568fdd82d43a87b7e5a3b7805e0b2b614e2b,United States,Minnesota,POINT(-93.157 46.700),EPSG:4326,"",Tamarack North Project,"Palladium,Cobalt,Gold,Copper,Platinum,Nickel","Ophiolite nickel-copper-PGE,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE,Vein ± replacement nickel"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02998874b2f9d0268e1fac0ab63991f936449879b216035c6769cbdf8420ec5705,https://api.cdr.land/v1/docs/documents,02998874b2f9d0268e1fac0ab63991f936449879b216035c6769cbdf8420ec5705,Canada,British Columbia,"","","",NI 43-101 Technical Report for the Turnagain Project in North America dated June 2005.pdf,"Nickel,Cobalt,Copper","Arc U-M intru- sion nickel- copper-PGE,Disseminated sulphides,Komatiite nickel-copper-PGE,Magmatic sulphide,Massive sulphides,Ophiolite nickel-copper-PGE,Semi-massive sulphides,Sulphide matrix breccias,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__029d6f91b6c43799e1538eb3c0aefbebf78e4d4576b5167e09095c68c6457b666a,https://api.cdr.land/v1/docs/documents,029d6f91b6c43799e1538eb3c0aefbebf78e4d4576b5167e09095c68c6457b666a,Canada,Ontario,POINT(-88.916667 48.766667),EPSG:4326,"",Thunder Bay North Project,"Silver,Platinum,Copper,Gold,Cobalt,Palladium,Nickel","Anorthosite conduit nickel- copper-PGE,Impact U-M intrusion nickel- copper-PGE,Magmatic Sulphide Deposits,U-M conduit nickel-copper- PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion nickel- copper-PGE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02b1591cfad6809d1d9ea67ea04b34d2df8b16d5f34e4bba701a7924bab9c3b48d,https://api.cdr.land/v1/docs/documents,02b1591cfad6809d1d9ea67ea04b34d2df8b16d5f34e4bba701a7924bab9c3b48d,Finland,Central Finland,POINT(28.128333 65.905722),EPSG:4326,"","NI 43-101 Technical Report for the Läntinen Koillismaa project in Finland dated May, 2021.pdf","Platinum,Palladium,Cobalt,Nickel,Copper","Arc U-M intru- sion nickel- copper-PGE,Ophiolite nickel-copper-PGE,U-M intrusion nickel-copper- PGE,U-M layered intrusion PGE,U-M layered intrusion nickel- copper-PGE"
