ms_uri,source_id,record_id,country,state_or_province,location,crs,other_names,site_name,commodity,deposit_type
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__022f34370dbbb08010387f8745d2dfb1bfe5a5b501a373df15bc8083879ffb54ad,https://api.cdr.land/v1/docs/documents,022f34370dbbb08010387f8745d2dfb1bfe5a5b501a373df15bc8083879ffb54ad,United States,Nebraska,POINT(-96.185694 40.266750),EPSG:4326,"",Elk Creek Project,"Lutetium,Lanthanum,Europium,Yttrium,Scandium,Ytterbium,Erbium,Titanium,Dysprosium,Holmium,Praseodymium,Terbium,Cerium,Neoymium,Gadolinium,Niobium,Samarium,Thulium","Carbonatite,Carbonatite REE,Carbonatite laterite REE,Carbonatite niobium,Fluvial placer niobium- tantalum,Unconformity- related REE,observed text"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0241cd3ff6751aece89ad19604525b4609ab1b41e20640128632e71ea63c3823c7,https://api.cdr.land/v1/docs/documents,0241cd3ff6751aece89ad19604525b4609ab1b41e20640128632e71ea63c3823c7,Canada,Newfoundland and Labrador,"","","","NI 43-101 Technical Report for the Deep Fox and Foxtrot project in Canada dated December, 2021.pdf","Lutetium,Ytterbium,Niobium,Europium,Cerium,Lanthanum,Gadolinium,Yttrium,Erbium,Thulium,Neoymium,Terbium,Dysprosium,Praseodymium,Samarium,Holmium","Carbonatite Deposits,Carbonatite REE,In Situ Laterites,Ion adsorption REE,Ionic Clay Deposits,Peralkaline Oversaturated Deposits,Peralkaline Undersaturated Deposits,Peralkaline igneous HFSE- REE,Skarn uranium- REE,Unconformity- related REE"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02595f3dd572720a6b95b4566ef12e7e4ac57d3bb9ec37b05c47013efbbd512e3a,https://api.cdr.land/v1/docs/documents,02595f3dd572720a6b95b4566ef12e7e4ac57d3bb9ec37b05c47013efbbd512e3a,Canada,Newfoundland and Labrador,POINT(-55.62532 52.37011),EPSG:4326,"",Foxtrot Project,"Thulium,Cerium,Lutetium,Praseodymium,Lanthanum,Europium,Yttrium,Terbium,Neoymium,Holmium,Ytterbium,Gadolinium,Samarium,Erbium,Dysprosium","Carbonatite REE,Hypozonal orogenic gold,Ion adsorption REE,Peralkaline igneous HFSE- REE,Unconformity- related REE,beach sand deposit,carbonatite deposit,in situ laterites,ionic clay deposit,peralkaline oversaturated deposit,peralkaline undersaturated deposit,primary magmatic REE deposit"
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__025e71162fd48b8067eb33f63d83679ae4b564b63e1bd27441bfc2c88d01511ddc,https://api.cdr.land/v1/docs/documents,025e71162fd48b8067eb33f63d83679ae4b564b63e1bd27441bfc2c88d01511ddc,Canada,Quebec,POINT(-79.0981 46.7194),EPSG:4326,"",Kipawa Project,"Yttrium,Holmium,Terbium,Dysprosium,Thulium,Neoymium,Lutetium,Praseodymium,Gadolinium,Samarium,Ytterbium,Erbium,Europium,Cerium,Lanthanum","Ion adsorption REE,MVT zinc-lead,Peralkaline igneous HFSE- REE,Skarn uranium- REE,Supergene uranium,polymetallic deposit type of rare elements associated with peralkaline syenite occurrences"
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__araxa-113,https://doi.org/10.2113/econgeo.110.8.1925,araxa__113,Brazil,Minas Gerais,"",EPSG:4326,"",Araxá,"Lanthanum,Lutetium,Europium,Holmium,Erbium,Neoymium,Cerium,Ytterbium,Yttrium,Dysprosium,Praseodymium,Gadolinium,Terbium,Samarium,Thulium",Carbonatite 
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__area-5-browns-range-20,https://doi.org/10.2113/econgeo.110.8.1925,area-5-browns-range__20,Australia,Western Australia,"",EPSG:4326,"",Area 5 (Browns Range),"Praseodymium,Gadolinium,Neoymium,Ytterbium,Lutetium,Europium,Cerium,Lanthanum,Terbium,Erbium,Holmium,Samarium,Dysprosium,Thulium,Yttrium",Granite -Related Skarn
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__ashram-eldor-133,https://doi.org/10.2113/econgeo.110.8.1925,ashram-eldor__133,Canada,"","",EPSG:4326,"",Ashram (Eldor),"Neoymium,Erbium,Thulium,Cerium,Praseodymium,Lanthanum,Europium,Gadolinium,Samarium,Lutetium,Yttrium,Holmium,Terbium,Ytterbium,Dysprosium",Carbonatite 
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__bayan-obo-143,https://doi.org/10.2113/econgeo.110.8.1925,bayan-obo__143,China,Inner Mongolia,"",EPSG:4326,"",Bayan Obo,"Dysprosium,Erbium,Europium,Ytterbium,Lutetium,Praseodymium,Yttrium,Neoymium,Gadolinium,Cerium,Lanthanum,Samarium,Terbium",Carbonatite
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__bear-lodge-249,https://doi.org/10.2113/econgeo.110.8.1925,bear-lodge__249,United States,Wyoming,"",EPSG:4326,"",Bear Lodge,"Gadolinium,Lutetium,Lanthanum,Europium,Terbium,Erbium,Thulium,Cerium,Praseodymium,Neoymium,Ytterbium,Yttrium,Dysprosium,Samarium,Holmium",Carbonatite
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__bokan-dotson-246,https://doi.org/10.2113/econgeo.110.8.1925,bokan-dotson__246,United States,Alaska,"",EPSG:4326,"",Bokan - Dotson,"Terbium,Yttrium,Gadolinium,Lanthanum,Holmium,Cerium,Europium,Thulium,Lutetium,Praseodymium,Neoymium,Samarium,Erbium,Ytterbium,Dysprosium",Alkaline 
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__buckton-135,https://doi.org/10.2113/econgeo.110.8.1925,buckton__135,Canada,Alberta,"",EPSG:4326,"",Buckton,"Cerium,Praseodymium,Erbium,Dysprosium,Holmium,Yttrium,Lanthanum,Neoymium,Europium,Gadolinium,Samarium,Ytterbium,Lutetium,Scandium,Thulium,Terbium",Shale-hosted
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__buckton-south-136,https://doi.org/10.2113/econgeo.110.8.1925,buckton-south__136,Canada,Alberta,"",EPSG:4326,"",Buckton south,"Samarium,Erbium,Ytterbium,Gadolinium,Thulium,Yttrium,Praseodymium,Dysprosium,Holmium,Europium,Terbium,Lutetium,Scandium,Lanthanum,Cerium,Neoymium",Shale-hosted
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__canakli-1-242,https://doi.org/10.2113/econgeo.110.8.1925,canakli-1__242,Turkey,"","",EPSG:4326,"",Canakli 1,"Yttrium,Neoymium,Dysprosium,Gadolinium,Samarium,Thulium,Praseodymium,Terbium,Lanthanum,Scandium,Ytterbium,Lutetium,Europium,Holmium,Cerium,Erbium",Alkaline 
